id_orden,fecha,id_producto,cantidad,precio
1,2025-01-21,215,1,55.53716
2,2024-09-03,1,19,94.415
3,2024-06-29,64,16,61.97166
3,2024-06-29,287,2,73.42018
4,2024-08-31,127,19,80.90025
4,2024-08-31,7,7,53.27259
5,2024-09-29,68,6,70.61654
5,2024-09-29,137,10,97.87958
6,2024-05-25,134,10,88.25855
7,2024-05-28,89,3,76.53509
8,2024-05-27,415,12,98.85966
8,2024-05-27,246,7,26.57608
9,2024-11-20,228,14,16.97783
10,2024-12-18,219,12,56.19864
10,2024-12-18,149,10,36.48542
11,2024-06-16,381,2,76.04987
11,2024-06-16,214,1,22.96589
12,2024-10-16,439,10,47.93726
12,2024-10-16,388,5,49.51373
13,2024-12-14,236,10,40.0807
14,2025-03-19,13,8,14.2244
14,2025-03-19,112,7,41.58815
15,2024-11-05,396,2,32.19758
16,2025-02-15,265,9,25.51226
17,2024-10-23,254,14,57.30309
17,2024-10-23,95,9,41.45444
18,2025-02-26,274,6,17.02161
18,2025-02-26,52,2,45.72559
19,2025-03-29,384,1,14.59863
20,2025-03-20,128,19,40.61762
20,2025-03-20,357,6,91.11197
21,2024-08-27,226,5,13.78206
22,2024-05-30,39,8,73.13175
22,2024-05-30,170,6,72.00901
23,2025-04-08,339,16,93.00207
24,2024-11-27,493,19,45.43062
24,2024-11-27,5,2,95.07384
25,2024-05-08,94,19,64.01374
25,2024-05-08,286,10,39.99077
26,2024-08-11,489,15,81.10337
26,2024-08-11,241,9,33.61422
27,2024-06-07,55,17,34.58275
27,2024-06-07,367,5,79.80976
28,2024-07-27,347,1,63.36454
29,2024-12-20,152,17,69.81019
30,2024-11-27,435,11,43.76753
30,2024-11-27,309,10,53.77139
31,2024-10-28,37,14,15.62952
31,2024-10-28,122,9,47.15592
32,2024-09-07,369,7,13.73167
33,2025-04-28,309,18,12.71196
34,2025-04-20,286,19,28.08508
35,2025-01-22,171,13,83.11238
35,2025-01-22,344,6,25.62237
36,2025-01-29,221,9,26.65481
37,2024-05-24,176,13,73.67639
37,2024-05-24,105,5,56.06997
