id,fecha,id_cliente,id_corresponsal
1,2025-01-21,947,293
2,2024-09-03,68,977
3,2024-06-29,352,731
4,2024-08-31,77,753
5,2024-09-29,811,771
6,2024-05-25,394,681
7,2024-05-28,467,125
8,2024-05-27,662,214
9,2024-11-20,540,211
10,2024-12-18,30,354
11,2024-06-16,745,931
12,2024-10-16,695,932
13,2024-12-14,657,422
14,2025-03-19,99,992
15,2024-11-05,213,376
16,2025-02-15,818,422
17,2024-10-23,536,378
18,2025-02-26,551,431
19,2025-03-29,614,435
20,2025-03-20,159,821
21,2024-08-27,65,713
22,2024-05-30,539,39
23,2025-04-08,221,766
24,2024-11-27,478,889
25,2024-05-08,451,918
26,2024-08-11,559,251
27,2024-06-07,689,572
28,2024-07-27,138,754
29,2024-12-20,269,247
30,2024-11-27,50,386
31,2024-10-28,222,796
32,2024-09-07,709,117
33,2025-04-28,41,519
34,2025-04-20,651,958
35,2025-01-22,901,183
36,2025-01-29,860,551
37,2024-05-24,254,271
38,2024-09-18,911,707
39,2024-06-02,466,198
40,2025-04-12,119,517
41,2024-05-02,135,382
42,2024-06-12,39,340
43,2024-11-29,875,333
44,2025-01-03,369,459
45,2024-09-15,578,292
46,2025-01-12,495,519
47,2025-01-03,679,793
48,2024-07-08,752,937
49,2024-06-14,983,147
50,2024-11-07,617,26
51,2025-02-17,707,398
52,2025-01-12,73,27
53,2025-01-12,6,690
54,2024-05-23,472,872
55,2025-04-20,146,983
56,2025-01-23,232,648
57,2025-02-06,80,956
58,2024-06-07,920,98
59,2024-06-20,558,461
60,2024-08-11,628,377
61,2024-11-27,169,904
62,2024-05-07,739,184
63,2024-07-29,234,888
64,2024-12-18,635,470
65,2025-04-02,932,844
66,2024-09-18,358,460
67,2024-08-30,595,500
68,2024-05-21,577,142
69,2024-12-30,999,254
70,2025-04-20,125,901
71,2025-02-05,456,973
72,2025-04-14,602,270
73,2024-09-16,768,158
74,2025-04-07,534,513
75,2024-05-28,805,664
76,2024-06-21,498,145
77,2024-08-16,683,421
78,2025-02-27,678,657
79,2025-01-25,674,585
80,2024-10-27,160,966
81,2024-11-22,975,455
82,2025-02-28,909,14
83,2024-12-11,927,991
84,2025-01-06,686,90
85,2024-06-11,10,799
86,2025-04-16,84,166
87,2024-06-06,782,188
88,2025-04-30,560,736
89,2025-02-04,443,791
90,2025-04-17,754,988
91,2024-07-18,36,451
92,2024-09-15,348,621
93,2024-07-05,113,989
94,2024-06-02,250,535
95,2025-03-23,525,216
96,2024-10-13,717,903
97,2025-03-12,274,582
98,2025-01-22,208,873
99,2024-10-16,893,757
100,2025-03-22,771,686
101,2024-10-10,760,305
102,2024-08-03,866,240
103,2024-05-05,391,818
104,2025-03-11,764,59
105,2024-11-30,466,627
106,2025-03-21,925,910
107,2024-05-23,701,542
108,2025-04-13,651,340
109,2024-12-24,249,703
110,2024-08-23,555,578
111,2024-10-11,157,861
112,2024-11-24,561,735
113,2024-10-09,669,819
114,2025-02-07,526,833
115,2024-06-01,902,475
116,2025-02-19,242,9
117,2024-06-07,38,50
118,2024-05-29,865,114
119,2025-02-11,400,464
120,2024-06-21,345,751
121,2024-11-22,492,183
122,2024-11-25,387,570
123,2025-04-06,78,167
124,2024-05-13,705,434
125,2024-08-25,956,725
126,2025-01-20,419,212
127,2025-01-19,481,34
128,2024-12-09,961,907
129,2025-02-24,79,478
130,2024-11-03,794,674
131,2025-01-13,87,445
132,2025-01-29,199,471
133,2024-11-26,818,996
134,2024-06-02,108,344
135,2025-04-12,197,41
136,2024-07-12,503,744
137,2024-12-27,816,458
138,2025-04-01,395,245
139,2025-03-25,76,137
140,2024-04-30,945,633
141,2025-03-09,436,3
142,2024-07-30,784,626
143,2024-12-30,622,474
144,2024-10-08,984,444
145,2024-09-03,71,311
146,2025-03-15,396,428
147,2024-11-25,601,390
148,2025-01-18,285,308
149,2024-12-23,383,280
150,2024-12-06,502,459
151,2025-03-01,614,613
152,2024-11-01,82,98
153,2025-04-23,73,397
154,2024-06-26,689,728
155,2024-12-31,646,638
156,2025-02-17,528,979
157,2024-05-08,758,353
158,2024-08-07,258,625
159,2024-05-14,454,675
160,2024-06-11,290,818
161,2024-12-09,944,764
162,2024-08-01,410,624
163,2024-07-11,281,615
164,2024-12-23,982,817
165,2025-03-25,761,370
