id,nombre,descripcion,precio
1,Universal multi-state monitoring,Illum animi occaecati cumque ex porro reiciendis.,79.60744
2,Organic explicit time-frame,Quas esse ullam necessitatibus.,33.70985
3,Extended optimizing concept,Ex ipsam natus eligendi aut eaque.,46.72253
4,De-engineered motivating moratorium,Ad provident accusamus voluptatibus minus dolor.,79.97736
5,Fully-configurable bandwidth-monitored hub,Ipsam in eveniet delectus nulla ipsum.,23.03148
6,Realigned non-volatile Graphic Interface,Quam nisi odit possimus delectus.,41.93376
7,Persevering maximized moratorium,Unde maiores exercitationem sint.,31.06347
8,Cross-group 5thgeneration circuit,Suscipit asperiores quo qui commodi excepturi debitis.,84.15345
9,Horizontal asymmetric complexity,Saepe sit corrupti quibusdam necessitatibus eos repudiandae.,83.31082
10,Multi-layered 5thgeneration methodology,Tempora odit ex corporis quisquam nisi nisi aliquid.,40.55612
11,Reverse-engineered incremental strategy,Non facere nisi atque tenetur nemo doloribus.,26.33105
12,Profit-focused upward-trending interface,Hic ad doloremque pariatur quo molestias quod pariatur.,49.10884
13,Inverse disintermediate installation,Ipsum architecto distinctio doloremque consequatur.,41.00926
14,Face-to-face next generation monitoring,Quam explicabo excepturi est voluptate quisquam repellendus optio.,85.73361
15,Ameliorated full-range artificial intelligence,Fugiat repudiandae facilis voluptatum quis consequuntur.,19.75631
16,Digitized responsive paradigm,Culpa voluptatibus nihil provident reiciendis.,45.43612
17,Synergistic grid-enabled leverage,Rerum saepe neque commodi nobis adipisci.,95.26802
18,Function-based hybrid portal,Adipisci eligendi reprehenderit accusamus nihil sed aut.,48.19904
19,Universal heuristic extranet,Amet maxime eius similique cum magni.,41.69636
20,Streamlined multimedia algorithm,Officiis id iure harum deserunt deleniti.,74.96154
21,Enhanced didactic strategy,Excepturi at sequi in id sint dolorem nostrum.,31.08684
22,Cross-group mission-critical encryption,Eum qui tempora laboriosam quis.,89.88652
23,Organic radical flexibility,Voluptatibus minus esse consequatur.,93.17927
24,Universal client-driven process improvement,Sint ex voluptates voluptate est pariatur.,41.31939
25,Cross-platform intangible ability,Nesciunt similique culpa.,25.67212
26,Synergized next generation archive,Nobis cum omnis rem.,62.58077
27,Multi-lateral bandwidth-monitored Graphical User Interface,Placeat fugit nisi voluptatibus beatae.,61.12787
28,Networked intermediate extranet,Consequatur atque in recusandae expedita atque sit.,70.95854
29,Expanded fault-tolerant alliance,Quibusdam culpa corporis architecto possimus soluta ut.,11.93985
30,Persistent asymmetric matrices,Ut et dignissimos incidunt voluptatum nam quod.,25.41544
31,Switchable explicit project,Atque omnis voluptatum.,83.4211
32,Centralized user-facing website,Explicabo fuga est cum consequuntur occaecati aut.,12.64535
33,Automated high-level website,Voluptate nihil nisi minima sed deserunt illo.,69.25392
34,Face-to-face coherent software,Explicabo eius porro doloribus eaque tempore non.,25.74714
35,Programmable empowering middleware,Cumque quisquam temporibus hic voluptates voluptates beatae.,15.64846
36,Decentralized content-based definition,Nobis tempora quam labore et saepe magnam.,33.4547
37,Expanded optimal matrices,Maiores reprehenderit ea alias architecto placeat.,75.28975
38,Enhanced interactive migration,Dolor hic nemo sed itaque.,57.96991
39,Cloned holistic middleware,Sit neque quod repudiandae porro nemo sint.,28.59237
40,Re-engineered methodical archive,Voluptas exercitationem praesentium.,64.78053
41,Adaptive hybrid superstructure,Saepe quo magnam reprehenderit sed nam.,17.485
42,Quality-focused 24hour architecture,Non accusantium suscipit sint similique.,87.88959
43,Profound even-keeled projection,Laborum aspernatur accusantium et.,22.9944
44,Monitored 3rdgeneration hierarchy,Quo tempora adipisci iusto.,74.16262
45,Seamless web-enabled customer loyalty,Aliquam harum consequuntur nam maiores ullam.,88.31306
46,Adaptive regional access,Ipsum hic amet officiis perspiciatis minima dolore.,37.33934
47,Distributed human-resource installation,Voluptatibus porro odit voluptates.,54.56675
48,Future-proofed client-driven implementation,Praesentium ea quisquam non explicabo deleniti reiciendis amet.,31.90371
49,Streamlined mobile info-mediaries,Quod quidem recusandae iusto cum dicta.,14.70188
50,Reverse-engineered context-sensitive firmware,Perspiciatis reprehenderit necessitatibus amet eaque soluta.,55.36452
51,Sharable demand-driven forecast,Repudiandae deserunt maxime blanditiis doloremque vero.,64.68552
52,Enhanced content-based benchmark,Temporibus qui possimus veniam dolores optio ex.,80.85062
53,Sharable bi-directional ability,Recusandae tempora cupiditate quisquam pariatur non consequatur.,79.93845
54,User-friendly multi-tasking middleware,Officiis incidunt sequi voluptate.,12.99517
55,Digitized transitional migration,Deserunt et consectetur repellendus tempora.,31.63331
56,Advanced transitional framework,Tenetur nulla natus officiis.,66.88596
57,Reactive asymmetric architecture,Necessitatibus aliquam a necessitatibus eos provident illo at.,74.01306
58,Ameliorated hybrid collaboration,Fugit tenetur accusantium nesciunt impedit placeat.,82.18646
59,Compatible interactive protocol,Earum accusantium nam magni.,74.76289
60,Vision-oriented bottom-line implementation,Unde quis tempora a.,17.68802
61,Progressive scalable encoding,Accusamus laboriosam quidem error perferendis.,84.80955
62,Universal grid-enabled frame,Voluptatibus autem excepturi pariatur eaque maxime nobis.,26.00009
63,Inverse zero-defect functionalities,Eaque quo et esse.,83.77054
64,Balanced cohesive projection,Animi officiis accusamus nobis.,81.6807
65,Innovative radical support,Eaque harum numquam voluptate fugiat odit ad voluptates.,54.07778
66,Centralized holistic conglomeration,Quisquam tempore occaecati.,54.51956
67,Universal 3rdgeneration moderator,Aut assumenda mollitia deleniti soluta.,32.718
68,Multi-lateral disintermediate orchestration,Temporibus rem illo molestiae.,75.96286
69,Total neutral strategy,At maiores aut cumque quaerat.,50.42048
70,Mandatory grid-enabled software,Quidem nesciunt doloremque temporibus sequi quod iste.,95.93516
71,Profound bottom-line Graphic Interface,Sunt reiciendis porro voluptate expedita cum voluptas.,30.11665
72,Virtual heuristic budgetary management,Quis porro quaerat eum.,55.06757
73,Enterprise-wide encompassing initiative,Delectus tenetur nostrum repudiandae voluptatem in ex.,13.09993
74,Phased local protocol,Aperiam repellat ullam reprehenderit doloribus quos.,31.05434
75,Sharable context-sensitive utilization,Rerum architecto error quasi.,56.61537
76,Focused executive database,Laudantium fugiat magni optio iusto officiis expedita.,39.81029
77,Focused value-added definition,Quae ullam iure nisi placeat maiores doloremque.,44.75803
78,Advanced uniform protocol,Voluptatum enim consequatur sunt suscipit dolore saepe.,60.916
79,Distributed 24hour productivity,Sed nostrum suscipit.,89.70748
80,Innovative high-level functionalities,Nobis tenetur quod unde odio.,41.72851
81,Managed bi-directional strategy,Nobis dicta quae doloremque laudantium.,93.18906
82,Assimilated methodical core,Vitae earum nihil molestiae quod maxime.,15.01406
83,Persistent value-added product,Tempora eum dolorum cupiditate autem dolores id magni.,84.48263
84,Self-enabling mobile knowledgebase,Saepe quod voluptas eum odio id.,93.96091
85,Open-architected methodical service-desk,Ratione autem perspiciatis error eum omnis.,11.72677
86,Customizable solution-oriented paradigm,Suscipit dolores eius consequuntur laudantium illo esse numquam.,42.89111
87,Expanded transitional Internet solution,Explicabo blanditiis porro cumque blanditiis error nostrum.,78.56993
88,Cross-platform dynamic adapter,Voluptatem quas tenetur culpa cupiditate nulla.,11.45133
89,Expanded 4thgeneration focus group,Quae numquam adipisci.,21.87968
90,Mandatory logistical circuit,Repudiandae vel blanditiis.,66.27667
91,Ergonomic real-time function,Reprehenderit possimus voluptas occaecati reprehenderit ipsum.,39.84777
92,Horizontal neutral Internet solution,Repellat facilis iste fugit ipsam omnis.,95.70508
93,Phased optimal interface,Eos qui illum recusandae sequi.,25.6552
